2022-04-02测试

1. PHCond复位重启如下，预计在最后20行左右，我复制了很多，请检查
[15:21:27.758]收←◆01 03 0C 44 0C ED 26 3A E8 84 C2 41 98 00 00 62 3E 
[15:21:28.032]收←◆01 03 00 00 00 06 C5 C8 
[15:21:28.064]收←◆01 03 0C 44 0C E9 38 3A E8 8B 3F 41 98 00 00 CF 60 
[15:21:28.252]收←◆01 03 00 00 00 06 C5 C8 
[15:21:28.284]收←◆01 03 0C 44 0C E9 38 3A E8 8B 3F 41 98 00 00 CF 60 
[15:21:28.470]收←◆01 03 00 00 00 06 C5 C8 
[15:21:28.502]收←◆01 03 0C 44 0C E9 38 3A E8 8B 3F 41 98 00 00 CF 60 
[15:21:28.689]收←◆01 03 00 00 00 06 C5 C8 
[15:21:28.721]收←◆01 03 0C 44 0C ED ED 3A E8 83 7A 41 98 00 00 E0 A7 
[15:21:28.909]收←◆01 03 00 00 00 06 C5 C8 
[15:21:28.941]收←◆01 03 0C 44 0C ED ED 3A E8 83 7A 41 98 00 00 E0 A7 
[15:21:29.215]收←◆01 03 00 00 00 06 C5 C8 
[15:21:29.246]收←◆01 03 0C 44 0C E8 C6 3A E8 8B FB 41 98 00 00 27 10 
[15:21:29.433]收←◆01 03 00 00 00 06 C5 C8 
[15:21:29.465]收←◆01 03 0C 44 0C E8 C6 3A E8 8B FB 41 98 00 00 27 10 
[15:21:29.652]收←◆01 03 00 00 00 06 C5 C8 
[15:21:29.686]收←◆01 03 0C 44 0C E8 C6 3A E8 8B FB 41 98 00 00 27 10 
[15:21:29.872]收←◆01 03 00 00 00 06 C5 C8 
[15:21:29.904]收←◆01 03 0C 44 0C E9 DD 3A E8 8A 2F 41 98 00 00 F9 E6 
[15:21:30.092]收←◆01 03 00 00 00 06 C5 C8 
[15:21:30.122]收←◆01 03 0C 44 0C E9 DD 3A E8 8A 2F 41 98 00 00 F9 E6 
[15:21:30.396]收←◆01 03 00 00 00 06 C5 C8 
[15:21:30.427]收←◆01 03 0C 44 0C E9 DD 3A E8 8A 2F 41 98 00 00 F9 E6 
[15:21:30.615]收←◆01 03 00 00 00 06 C5 C8 
[15:21:30.647]收←◆01 03 0C 44 0C E7 F6 3A E8 8D 52 41 98 00 00 1F 5F 
[15:21:30.834]收←◆01 03 00 00 00 06 C5 C8 
[15:21:30.866]收←◆01 03 0C 44 0C E7 F6 3A E8 8D 52 41 98 00 00 1F 5F 
[15:21:31.053]收←◆01 03 00 00 00 06 C5 C8 
[15:21:31.084]收←◆01 03 0C 44 0C E7 F6 3A E8 8D 52 41 98 00 00 1F 5F 
[15:21:31.273]收←◆01 03 00 00 00 06 C5 C8 
[15:21:31.304]收←◆01 03 0C 44 0C E5 A2 3A E8 91 2A 41 98 00 00 D2 00 
[15:21:31.593]收←◆01 03 00 00 00 06 C5 C8 
[15:21:31.625]收←◆01 03 0C 44 0C E5 A2 3A E8 91 2A 41 98 00 00 D2 00 
[15:21:31.813]收←◆01 03 00 00 00 06 C5 C8 
[15:21:31.843]收←◆01 03 0C 44 0C E8 4E 3A E8 8C C1 41 98 00 00 F8 A4 
[15:21:32.031]收←◆01 03 00 00 00 06 C5 C8 
[15:21:32.063]收←◆01 03 0C 44 0C E8 4E 3A E8 8C C1 41 98 00 00 F8 A4 
[15:21:32.250]收←◆01 03 00 00 00 06 C5 C8 
[15:21:32.282]收←◆01 03 0C 44 0C E8 4E 3A E8 8C C1 41 98 00 00 F8 A4 
[15:21:32.470]收←◆01 03 00 00 00 06 C5 C8 
[15:21:32.505]收←◆01 03 0C 44 0C E5 5D 3A E8 91 9C 41 98 00 00 5E 2E 
[15:21:32.790]收←◆01 03 00 00 00 06 C5 C8 
[15:21:32.822]收←◆01 03 0C 44 0C E5 5D 3A E8 91 9C 41 98 00 00 5E 2E 
[15:21:33.009]收←◆01 03 00 00 00 06 C5 C8 
[15:21:33.041]收←◆01 03 0C 44 0C E9 03 3A E8 8B 96 41 98 00 00 B4 49 
[15:21:33.228]收←◆01 03 00 00 00 06 C5 C8 
[15:21:33.260]收←◆01 03 0C 44 0C E9 03 3A E8 8B 96 41 98 00 00 B4 49 
[15:21:33.448]收←◆01 03 00 00 00 06 C5 C8 
[15:21:33.480]收←◆01 03 0C 44 0C E9 03 3A E8 8B 96 41 98 00 00 B4 49 
[15:21:33.666]收←◆01 03 00 00 00 06 C5 C8 
[15:21:33.699]收←◆01 03 0C 44 0C E9 99 3A E8 8A 9F 41 98 00 00 BB 3F 
[15:21:33.972]收←◆01 03 00 00 00 06 C5 C8 
[15:21:34.003]收←◆01 03 0C 44 0C E9 99 3A E8 8A 9F 41 98 00 00 BB 3F 
[15:21:34.191]收←◆01 03 00 00 00 06 C5 C8 
[15:21:34.223]收←◆01 03 0C 44 0C E9 99 3A E8 8A 9F 41 98 00 00 BB 3F 
[15:21:34.411]收←◆01 03 00 00 00 06 C5 C8 
[15:21:34.443]收←◆01 03 0C 44 0C E6 37 3A E8 90 34 41 98 00 00 18 8A 
 


[16:35:50.958]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F7 F8 B8 3B 04 24 E9 41 C8 00 00 90 84 
[16:35:51.174]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 4C 3B 04 20 58 41 C8 00 00 3E 26 
[16:35:51.392]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 4C 3B 04 20 58 41 C8 00 00 3E 26 
[16:35:51.714]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 4C 3B 04 20 58 41 C8 00 00 3E 26 
[16:35:51.932]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 04 D9 3B 04 1E 73 41 C8 00 00 9D B8 
[16:35:52.150]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 04 D9 3B 04 1E 73 41 C8 00 00 9D B8 
[16:35:52.370]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 04 D9 3B 04 1E 73 41 C8 00 00 9D B8 
[16:35:52.589]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 94 3B 04 20 31 41 C8 00 00 98 2A 
[16:35:52.911]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 94 3B 04 20 31 41 C8 00 00 98 2A 
[16:35:53.131]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 0D 0C 3B 04 1A 15 41 C8 00 00 E6 8E 
[16:35:53.350]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 0D 0C 3B 04 1A 15 41 C8 00 00 E6 8E 
[16:35:53.569]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 0D 0C 3B 04 1A 15 41 C8 00 00 E6 8E 
[16:35:53.788]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 E7 3B 04 20 8D 41 C8 00 00 E9 06 

[16:55:25.730]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F7 FE 7E 3B 04 21 D6 41 C8 00 00 1F 6E 
[16:55:25.949]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 4C 3B 04 20 58 41 C8 00 00 3E 26 
[16:55:26.167]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 4C 3B 04 20 58 41 C8 00 00 3E 26 
[16:55:26.474]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F7 FE 47 3B 04 21 F3 41 C8 00 00 6C F8 
[16:55:26.693]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F7 FE 47 3B 04 21 F3 41 C8 00 00 6C F8 
[16:55:26.917]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F7 FE 47 3B 04 21 F3 41 C8 00 00 6C F8 
[16:55:27.131]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 23 3B 04 1F E5 41 C8 00 00 4E CF 
[16:55:27.351]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 23 3B 04 1F E5 41 C8 00 00 4E CF 
[16:55:27.658]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 9C 3B 04 20 B5 41 C8 00 00 5E 31 
[16:55:27.876]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 9C 3B 04 20 B5 41 C8 00 00 5E 31 
[16:55:28.094]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 9C 3B 04 20 B5 41 C8 00 00 5E 31 
[16:55:28.314]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 A4 3B 04 1F 18 41 C8 00 00 35 28 
[16:55:28.532]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 A4 3B 04 1F 18 41 C8 00 00 35 28 
[16:55:28.839]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 A4 3B 04 1F 18 41 C8 00 00 35 28 
[16:55:29.058]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 97 3B 04 1F 1F 41 C8 00 00 C0 19 
[16:55:29.277]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 97 3B 04 1F 1F 41 C8 00 00 C0 19 
[16:55:29.497]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 97 3B 04 1F 1F 41 C8 00 00 C0 19 
[16:55:29.715]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 37 3B 04 20 63 41 C8 00 00 CD 11 
[16:55:30.022]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 37 3B 04 20 63 41 C8 00 00 CD 11 
[16:55:30.255]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 7E 3B 04 1F 2C 41 C8 00 00 67 89 
[16:55:30.461]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 7E 3B 04 1F 2C 41 C8 00 00 67 89 
[16:55:30.680]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 7E 3B 04 1F 2C 41 C8 00 00 67 89 
[16:55:30.900]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 70 3B 04 20 44 41 C8 00 00 EE E5 
[16:55:31.325]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 70 3B 04 20 44 41 C8 00 00 EE E5 
[16:55:31.545]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 05 0F 3B 04 1E 56 41 C8 00 00 37 DF 
[16:55:31.764]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 05 0F 3B 04 1E 56 41 C8 00 00 37 DF 

17：09:28    出现电导和温度同时为0.00
[17:09:25.082]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 9F 3B 04 1F 1A 41 C8 00 00 6B D9 
[17:09:25.496]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 9F 3B 04 1F 1A 41 C8 00 00 6B D9 
[17:09:25.715]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 BF 3B 04 20 A3 41 C8 00 00 9A C3 
[17:09:25.935]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 BF 3B 04 20 A3 41 C8 00 00 9A C3 
[17:09:26.154]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 BF 3B 04 20 A3 41 C8 00 00 9A C3 
[17:09:26.460]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 9F 3B 04 1F 1A 41 C8 00 00 6B D9 
[17:09:26.679]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 9F 3B 04 1F 1A 41 C8 00 00 6B D9 
[17:09:26.899]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 60 3B 04 1F 3C 41 C8 00 00 27 EA 
[17:09:27.117]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 60 3B 04 1F 3C 41 C8 00 00 27 EA 
[17:09:27.336]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 60 3B 04 1F 3C 41 C8 00 00 27 EA 
[17:09:27.641]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 9B 3B 04 1F A5 41 C8 00 00 1D 07 
[17:09:27.862]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 9B 3B 04 1F A5 41 C8 00 00 1D 07 
[17:09:28.079]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 9B 3B 04 1F A5 41 C8 00 00 1D 07 
